municipio,regiao,estado,id
ABAETETUBA,N,PA,0
ACAILANDIA,NE,MA,1
ADAMANTINA,SE,SP,2
AGUAS LINDAS DE GOIAS,CO,GO,3
ALAGOINHAS,NE,BA,4
ALEGRETE,S,RS,5
ALENQUER,N,PA,6
ALFENAS,SE,MG,7
ALTA FLORESTA,CO,MT,8
ALTAMIRA,N,PA,9
ALVORADA,S,RS,10
AMERICANA,SE,SP,11
AMPARO,SE,SP,12
ANANINDEUA,N,PA,13
ANAPOLIS,CO,GO,14
ANGRA DOS REIS,SE,RJ,15
APARECIDA DE GOIANIA,CO,GO,16
APUCARANA,S,PR,17
ARACAJU,NE,SE,18
ARACATUBA,SE,SP,19
ARACRUZ,SE,ES,20
ARAGUAINA,N,TO,21
ARAGUARI,SE,MG,22
ARAPIRACA,NE,AL,23
ARAPONGAS,S,PR,24
ARARANGUA,S,SC,25
ARARAQUARA,SE,SP,26
ARARAS,SE,SP,27
ARARIPINA,NE,PE,28
ARARUAMA,SE,RJ,29
ARAUCARIA,S,PR,30
ARAXA,SE,MG,31
ARCOVERDE,NE,PE,32
ARIQUEMES,N,RO,33
ASSIS,SE,SP,34
ASSIS CHATEAUBRIAND,S,PR,35
ATIBAIA,SE,SP,36
AVARE,SE,SP,37
BACABAL,NE,MA,38
BAGE,S,RS,39
BALNEARIO CAMBORIU,S,SC,40
BALSAS,NE,MA,41
BARBACENA,SE,MG,42
BARRA DO CORDA,NE,MA,43
BARRA DO PIRAI,SE,RJ,44
BARRA MANSA,SE,RJ,45
BARREIRAS,NE,BA,46
BARRETOS,SE,SP,47
BARUERI,SE,SP,48
BAURU,SE,SP,49
BAYEUX,NE,PB,50
BEBEDOURO,SE,SP,51
BELEM,N,PA,52
BELFORD ROXO,SE,RJ,53
BELO HORIZONTE,SE,MG,54
BELO JARDIM,NE,PE,55
BENTO GONCALVES,S,RS,56
BETIM,SE,MG,57
BIGUACU,S,SC,58
BIRIGUI,SE,SP,59
BLUMENAU,S,SC,60
BOA VISTA,N,RR,61
BOM DESPACHO,SE,MG,62
BOTUCATU,SE,SP,63
BRAGANCA,N,PA,64
BRAGANCA PAULISTA,SE,SP,65
BRASILIA,CO,DF,66
BRUMADO,NE,BA,67
BRUSQUE,S,SC,68
CABEDELO,NE,PB,69
CABO DE SANTO AGOSTINHO,NE,PE,70
CABO FRIO,SE,RJ,71
CACADOR,S,SC,72
CACAPAVA,SE,SP,73
CACERES,CO,MT,74
CACHOEIRA DO SUL,S,RS,75
CACHOEIRINHA,S,RS,76
CACHOEIRO DE ITAPEMIRIM,SE,ES,77
CACOAL,N,RO,78
CAETITE,NE,BA,79
CAICO,NE,RN,80
CALDAS NOVAS,CO,GO,81
CAMACARI,NE,BA,82
CAMBE,S,PR,83
CAMETA,N,PA,84
CAMPINA GRANDE,NE,PB,85
CAMPINAS,SE,SP,86
CAMPO BELO,SE,MG,87
CAMPO GRANDE,CO,MS,88
CAMPO LARGO,S,PR,89
CAMPO MOURAO,S,PR,90
CAMPOS DOS GOYTACAZES,SE,RJ,91
CANINDE,NE,CE,92
CANOAS,S,RS,93
CARAGUATATUBA,SE,SP,94
CARAPICUIBA,SE,SP,95
CARATINGA,SE,MG,96
CARIACICA,SE,ES,97
CARUARU,NE,PE,98
CASCAVEL,S,PR,99
CASTANHAL,N,PA,100
CASTRO,S,PR,101
CATALAO,CO,GO,102
CATANDUVA,SE,SP,103
CAUCAIA,NE,CE,104
CAXIAS,NE,MA,105
CAXIAS DO SUL,S,RS,106
CHAPECO,S,SC,107
CIANORTE,S,PR,108
CODO,NE,MA,109
COLATINA,SE,ES,110
COLOMBO,S,PR,111
CONCEICAO DO ARAGUAIA,N,PA,112
CONCORDIA,S,SC,113
CONGONHAS,SE,MG,114
CONSELHEIRO LAFAIETE,SE,MG,115
CONTAGEM,SE,MG,116
CORNELIO PROCOPIO,S,PR,117
CORONEL FABRICIANO,SE,MG,118
CORUMBA,CO,MS,119
COSMOPOLIS,SE,SP,120
COTIA,SE,SP,121
COXIM,CO,MS,122
CRATEUS,NE,CE,123
CRATO,NE,CE,124
CRICIUMA,S,SC,125
CRUZ ALTA,S,RS,126
CRUZEIRO,SE,SP,127
CRUZEIRO DO SUL,N,AC,128
CUBATAO,SE,SP,129
CUIABA,CO,MT,130
CURITIBA,S,PR,131
CURVELO,SE,MG,132
DELMIRO GOUVEIA,NE,AL,133
DIADEMA,SE,SP,134
DIVINOPOLIS,SE,MG,135
DOURADOS,CO,MS,136
DRACENA,SE,SP,137
DUQUE DE CAXIAS,SE,RJ,138
EMBU DAS ARTES,SE,SP,139
ERECHIM,S,RS,140
ESTEIO,S,RS,141
EUNAPOLIS,NE,BA,142
FEIRA DE SANTANA,NE,BA,143
FLORIANOPOLIS,S,SC,144
FORMIGA,SE,MG,145
FORMOSA,CO,GO,146
FORTALEZA,NE,CE,147
FOZ DO IGUACU,S,PR,148
FRANCA,SE,SP,149
FRANCISCO BELTRAO,S,PR,150
FRUTAL,SE,MG,151
GARANHUNS,NE,PE,152
GARCA,SE,SP,153
GOIANA,NE,PE,154
GOIANIA,CO,GO,155
GOIATUBA,CO,GO,156
GOVERNADOR VALADARES,SE,MG,157
GRAMADO,S,RS,158
GRAVATAI,S,RS,159
GUAIBA,S,RS,160
GUANAMBI,NE,BA,161
GUARAPARI,SE,ES,162
GUARAPUAVA,S,PR,163
GUARATINGUETA,SE,SP,164
GUARUJA,SE,SP,165
GUARULHOS,SE,SP,166
GUAXUPE,SE,MG,167
GURUPI,N,TO,168
HORTOLANDIA,SE,SP,169
IBITINGA,SE,SP,170
ICO,NE,CE,171
IGARASSU,NE,PE,172
IGUATU,NE,CE,173
IJUI,S,RS,174
ILHEUS,NE,BA,175
IMPERATRIZ,NE,MA,176
INDAIATUBA,SE,SP,177
IPATINGA,SE,MG,178
IPIRA,NE,BA,179
IRECE,NE,BA,180
ITABAIANA,NE,SE,181
ITABIRA,SE,MG,182
ITABORAI,SE,RJ,183
ITABUNA,NE,BA,184
ITACOATIARA,N,AM,185
ITAGUAI,SE,RJ,186
ITAITUBA,N,PA,187
ITAJAI,S,SC,188
ITAJUBA,SE,MG,189
ITAMARAJU,NE,BA,190
ITANHAEM,SE,SP,191
ITAPECERICA DA SERRA,SE,SP,192
ITAPERUNA,SE,RJ,193
ITAPETININGA,SE,SP,194
ITAPEVA,SE,SP,195
ITAPIPOCA,NE,CE,196
ITAPIRA,SE,SP,197
ITAPOLIS,SE,SP,198
ITAQUAQUECETUBA,SE,SP,199
ITATIBA,SE,SP,200
ITAUNA,SE,MG,201
ITU,SE,SP,202
ITUIUTABA,SE,MG,203
ITUMBIARA,CO,GO,204
JABOATAO DOS GUARARAPES,NE,PE,205
JABOTICABAL,SE,SP,206
JACAREI,SE,SP,207
JACOBINA,NE,BA,208
JAGUAQUARA,NE,BA,209
JALES,SE,SP,210
JANAUBA,SE,MG,211
JANUARIA,SE,MG,212
JARAGUA DO SUL,S,SC,213
JATAI,CO,GO,214
JAU,SE,SP,215
JEQUIE,NE,BA,216
JI-PARANA,N,RO,217
JOAO MONLEVADE,SE,MG,218
JOAO PESSOA,NE,PB,219
JOAO PINHEIRO,SE,MG,220
JOINVILLE,S,SC,221
JOSE BONIFACIO,SE,SP,222
JUAZEIRO,NE,BA,223
JUAZEIRO DO NORTE,NE,CE,224
JUIZ DE FORA,SE,MG,225
JUNDIAI,SE,SP,226
LAGARTO,NE,SE,227
LAGES,S,SC,228
LAGUNA,S,SC,229
LAJEADO,S,RS,230
LAJEDO,NE,PE,231
LAURO DE FREITAS,NE,BA,232
LAVRAS,SE,MG,233
LEME,SE,SP,234
LEOPOLDINA,SE,MG,235
