posto,preco,data_registro,produto,localizacao,id
COMPETRO COMERCIO E DISTRIBUICAO DE DERIVADOS DE PETROLEO LTDA,4.88,19/03/2024,0,407,0
COMPETRO COMERCIO E DISTRIBUICAO DE DERIVADOS DE PETROLEO LTDA,2.99,19/03/2024,2,407,1
CARDINAL E OLIVEIRA LTDA,7.59,20/03/2024,0,128,2
CARDINAL E OLIVEIRA LTDA,7.59,20/03/2024,1,128,3
AMAZONIA COMERCIO DE DERIVADOS DE PETROLEO LTDA,7.59,19/03/2024,0,128,4
AMAZONIA COMERCIO DE DERIVADOS DE PETROLEO LTDA,7.59,19/03/2024,1,128,5
AMAZONIA COMERCIO DE DERIVADOS DE PETROLEO LTDA,5.79,19/03/2024,2,128,6
CODEPE COMBUSTIVEIS LTDA,6.69,18/03/2024,0,345,7
CODEPE COMBUSTIVEIS LTDA,6.74,18/03/2024,1,345,8
CODEPE COMBUSTIVEIS LTDA,4.59,18/03/2024,2,345,9
COMDEPE COMERCIO DE DERIVADOS DE PETROLEO LTDA,6.79,18/03/2024,0,345,10
COMDEPE COMERCIO DE DERIVADOS DE PETROLEO LTDA,6.86,18/03/2024,1,345,11
AUTO POSTO CASTANHEIRA LTDA.,6.69,18/03/2024,0,345,12
AUTO POSTO CASTANHEIRA LTDA.,6.79,18/03/2024,1,345,13
AUTO POSTO CASTANHEIRA LTDA.,4.59,18/03/2024,2,345,14
AUTO POSTO AMAPA - EIRELI,6.79,18/03/2024,0,345,15
AUTO POSTO AMAPA - EIRELI,6.85,18/03/2024,1,345,16
AUTO POSTO AMAPA - EIRELI,4.79,18/03/2024,2,345,17
POSTO VILLAGE LTDA.,6.69,18/03/2024,0,345,18
POSTO VILLAGE LTDA.,6.69,18/03/2024,1,345,19
POSTO VILLAGE LTDA.,4.79,18/03/2024,2,345,20
AUTO POSTO CIDADE LTDA,6.69,18/03/2024,0,345,21
AUTO POSTO CIDADE LTDA,4.59,18/03/2024,2,345,22
AUTO POSTO ACAUAN LTDA,6.79,18/03/2024,0,345,23
AUTO POSTO ACAUAN LTDA,6.84,18/03/2024,1,345,24
AUTO POSTO ACAUAN LTDA,4.59,18/03/2024,2,345,25
AUTO POSTO CANINDE LTDA,6.78,18/03/2024,0,345,26
AUTO POSTO CANINDE LTDA,6.93,18/03/2024,1,345,27
AUTO POSTO DISTRITO LTDA.,6.79,18/03/2024,0,345,28
AUTO POSTO DISTRITO LTDA.,6.84,18/03/2024,1,345,29
AUTO POSTO DISTRITO LTDA.,4.69,18/03/2024,2,345,30
POSTO FLORESTA E AGROPECUARIA LTDA,6.69,18/03/2024,0,345,31
POSTO FLORESTA E AGROPECUARIA LTDA,6.69,18/03/2024,1,345,32
POSTO FLORESTA E AGROPECUARIA LTDA,4.89,18/03/2024,2,345,33
COMERCIAL DE COMBUSTIVEIS E LUBRIFICANTES VITAL LTDA.,5.94,19/03/2024,0,23,34
COMERCIAL DE COMBUSTIVEIS E LUBRIFICANTES VITAL LTDA.,5.98,19/03/2024,1,23,35
COMERCIAL DE COMBUSTIVEIS E LUBRIFICANTES VITAL LTDA.,4.19,19/03/2024,2,23,36
AUTO POSTO SAO FRANCISCO LTDA,5.67,19/03/2024,0,23,37
IBN PINTO E SILVA & CIA LTDA,5.69,19/03/2024,0,23,38
IBN PINTO E SILVA & CIA LTDA,5.79,19/03/2024,1,23,39
IBN PINTO E SILVA & CIA LTDA,4.09,19/03/2024,2,23,40
IBN PINTO E SILVA & CIA LTDA,5.69,19/03/2024,0,23,41
IBN PINTO E SILVA & CIA LTDA,5.89,19/03/2024,1,23,42
IBN PINTO E SILVA & CIA LTDA,4.29,19/03/2024,2,23,43
SEVERINO S. LOPES & CIA. LTDA,5.98,19/03/2024,0,290,44
SEVERINO S. LOPES & CIA. LTDA,6.15,19/03/2024,1,290,45
SEVERINO S. LOPES & CIA. LTDA,4.45,19/03/2024,2,290,46
A. B. LESSA NETO & CIA LTDA,5.99,19/03/2024,0,290,47
A. B. LESSA NETO & CIA LTDA,6.11,19/03/2024,1,290,48
A. B. LESSA NETO & CIA LTDA,4.39,19/03/2024,2,290,49
BALBINO & CIA LTDA,5.97,19/03/2024,0,290,50
BALBINO & CIA LTDA,6.09,19/03/2024,1,290,51
BALBINO & CIA LTDA,4.4,19/03/2024,2,290,52
CDA EMPREENDIMENTOS LTDA,4.09,18/03/2024,2,349,53
CDA EMPREENDIMENTOS LTDA,5.69,18/03/2024,0,349,54
CDA EMPREENDIMENTOS LTDA,5.79,18/03/2024,1,349,55
OLIVEIRA & FREITAS LTDA,5.99,18/03/2024,0,349,56
OLIVEIRA & FREITAS LTDA,4.29,18/03/2024,2,349,57
AUTO POSTO FORENE LTDA,5.49,18/03/2024,0,349,58
AUTO POSTO FORENE LTDA,5.79,18/03/2024,1,349,59
AUTO POSTO FORENE LTDA,3.99,18/03/2024,2,349,60
AUTO POSTO PIONEIRO LTDA,5.69,18/03/2024,0,349,61
AUTO POSTO PIONEIRO LTDA,5.89,18/03/2024,1,349,62
AUTO POSTO PIONEIRO LTDA,4.09,18/03/2024,2,349,63
MARCOS ANTONIO DA SILVA CABRAL,6.7,20/03/2024,0,185,64
MARCOS ANTONIO DA SILVA CABRAL,4.86,20/03/2024,2,185,65
MARCOS ANTONIO DA SILVA CABRAL,6.7,20/03/2024,0,185,66
ADRIANO MARQUES FRANCO - ME,6.7,20/03/2024,0,185,67
MARCOS ANTONIO DA SILVA CABRAL,6.7,20/03/2024,0,185,68
ERMELSON DOS SANTOS FERREIRA,6.7,20/03/2024,0,185,69
ERMELSON DOS SANTOS FERREIRA,6.7,20/03/2024,1,185,70
F.J. COMERCIO DE COMBUSTIVEIS LTDA,7.38,21/03/2024,0,299,71
F.J. COMERCIO DE COMBUSTIVEIS LTDA,7.38,21/03/2024,1,299,72
